0,2022-07-01,2022-08-01,2022-09-01,2022-10-01,2022-11-01,2022-12-01,2023-01-01,2023-02-01,2023-03-01,2023-04-01,2023-05-01,2023-06-01,2023-07-01,2023-08-01,2023-09-01,2023-10-01,2023-11-01,2023-12-01,2024-01-01,2024-02-01,2024-03-01,2024-04-01,2024-05-01,2024-06-01
GOLDEN CORRAL,1159408.2300000002,2025224.9000000001,1923630.35,2149332.13,2224566.590000001,2140532.1000000006,2025778.5100000002,2108310.07,2542378.12,2504332.940000001,2444321.64,2511090.5500000003,2382627.669999084,2205909.2899984554,2060334.809997444,2116726.9199976344,2276869.9799958803,2204395.0401308476,1816636.4902379885,2035661.0403271634,2546089.420007406,2173988.2101142984,2344557.2598302234,1181942.0099230856
IHOP,2700365.7199999997,4690905.04,4439417.24,5193519.990000001,4977133.680000001,5332503.850000001,4938738.259999999,4561490.59,5237220.01,5361751.840000001,5320383.140000001,5264248.0400003055,5463395.54000042,4969769.659991533,4775765.2400070755,5162405.0900037,4962277.9800003255,5724661.510093022,4541253.65000719,4602993.760047575,5385508.0109154675,4912645.180143969,5238519.890465789,2452208.6798428893
JERSEY MIKE'S SUBS,2448744.6399999997,4782068.989999999,4662673.659999999,5013145.369999999,4727648.06,5010834.9,4943688.82,4755240.130000001,5647816.109999999,5360867.249999999,5832488.099999389,5857122.450000534,5885306.830000609,5893731.459994773,5567286.839995193,5722372.770006106,5351831.729997515,5662238.6704959,5294798.289500354,5490870.510386536,6375564.459542345,6338884.420556311,6806630.409583343,3257798.830223782
NINETY NINE RESTAURANTS,318279.3900000001,586317.14,533998.14,583791.0399999999,547057.38,628249.03,528799.4,526949.8,592090.35,579814.7000000001,627078.11,714151.66,696271.6500000001,681313.2399999999,621886.460001068,670811.03,655226.4399988556,775303.2998554494,603709.430202961,670265.3098809123,718968.2798811346,681876.0101304352,692271.7499650717,327223.92996001244
OLIVE GARDEN,5092965.09,9496652.91,9007449.49,10496513.1,9542385.360000001,11503535.379999999,9972326.64,9731575.850000001,10605583.370000001,10344920.520000001,10912422.750000004,10122167.44,10298617.619994204,10054471.400005113,9365918.670013504,11219107.140002996,9996769.229987904,11920693.010747422,9205017.68036404,9804534.598921183,10569512.96970006,9628132.009272298,10660759.189892052,4647404.1693163365
OUTBACK STEAKHOUSE,2847261.2,5121243.989999999,4902161.36,5443759.209999999,4859551.980000001,5886933.069999999,5460958.72,5442903.359999999,5783439.479999998,5519494.55,5602172.09,5501741.109999999,5010289.99,4947574.909992943,4714137.360012512,4826800.870007076,4620491.310000381,5705908.099790622,4718763.619972186,5230243.069833124,5523527.620656483,4934811.7098224405,5391157.709470956,2375438.539052425
PANERA BREAD,5091038.44,10112253.95,9882904.930000002,11124565.12,10641470.450000001,10922853.850000001,10019011.82,9574773.070000002,10833537.44,10350225.45,10709891.069999998,10204357.99,9471089.589999998,10123809.579997977,9735175.380000567,10595158.169998778,9891074.010003624,10342832.910147203,8991946.170014476,8648775.389582617,9013950.600586746,8797726.75030449,8937764.27004186,4211596.330625057
SHAKE SHACK,660578.2799999999,1162203.8800000001,1112514.3,1228320.2599999998,1195128.6700000004,1397676.29,1291575.9699999997,1201678.0199999998,1479528.8500000003,1428867.2699999998,1446898.1099999999,1573005.4600000002,1701502.42,1557849.1699997708,1446393.2000034712,1519498.5799913027,1503641.9399981506,1709263.439802324,1457158.1602402776,1400511.8806198612,1753301.5597400516,1663273.2904063687,1716871.8300942816,874034.6599663347
TEXAS ROADHOUSE,5049883.619999999,9452599.26,8988786.78,10222295.910000002,9777520.669999998,11080695.180000003,9948834.790000001,9986388.22,11456057.56,11163439.03,11328801.840000002,11213827.210000003,10785915.530000003,10427516.55000164,10282205.009994203,10750214.409994049,10866931.99999355,12694742.171059819,10135822.899292454,11016903.078773439,12717927.621365681,11630245.41048893,12661218.60998915,6102204.640001345
TGI FRIDAYS,786718.24,1395213.58,1288804.79,1439574.1599999997,1322855.26,1493852.2700000005,1257396.71,1228535.83,1410669.0099999998,1333220.11,1318171.8599999996,1352298.6199999996,1342041.1999999997,1143001.6400000001,1062067.5200035095,1080919.2999974058,1002799.0999948882,1160128.1298434145,803775.1605319977,910200.6698777322,1014952.7802032419,928838.479653934,977832.1797530837,458951.64014024474
WAFFLE HOUSE,1648121.5800000003,2951390.34,3074055.0299999993,3374653.6000000006,3309113.9699999997,3776188.9400000004,3324921.420000001,3118160.7700000005,3533811.229999999,3421374.8799999994,3407667.8,3294878.0300000003,3101898.2399999998,2807630.1899990854,2889662.9899999993,3075230.7800003057,3023509.070000953,3482136.4801832796,2882991.4196302965,2832600.889923837,3297471.4698453117,2939732.6204556543,3219714.0596010387,1558868.1799911559
WINGSTOP,1899233.9699999995,3355746.2899999996,3583010.3200000008,3617163.15,3266368.5100000002,3714019.9299999997,3758690.090000001,3565609.79,4189986.840000001,4018359.06,3922959.790000914,3720869.5399999996,3885259.710000306,3808486.2800046545,4134312.6899995985,4271819.289997293,4040675.549993591,4582934.990267328,4532321.060226159,4691582.8204985,4943167.439973762,4795056.860242903,5079055.139353054,2551689.280183606
ZAXBYS,2826688.0999999996,5268720.070000002,5040988.17,5520187.620000001,5250167.16,5401822.479999998,5371216.08,5207803.430000001,5879146.149999999,5306413.100000002,5389339.380000001,5078552.37,4023557.4100016775,3955101.4600024796,3854781.3700018018,4002730.4600017173,3639466.140002403,3773946.190370803,3629085.53983023,3838962.5890708305,4057864.050536204,4030170.689716883,4210368.71008772,2002526.3898385242
